batch_size,n_epochs,learning_rate,mean_accuracy_per_image,mean_test_loss,mean_validation_loss,mean_train_loss,number_of_hits,number_of_test_images,number_of_fixations
32,20,1e-05,0.0006087292283071884,0.027334958001553455,0.04167469820120832,0.04330736029795913,15,3412,22641
32,20,1e-05,0.0005823284765254285,0.4532801481050866,0.4755936257053759,0.4772376384840433,13,3412,22641
128,20,0.0001,0.0004898676938536258,0.017428807500335906,0.030508599383756524,0.032369981638907905,12,3412,22641
128,1,0.0001,0.0005693025549414764,0.06424118909570906,0.06379687530850922,0.07532006649569394,14,3412,22641
128,30,0.0001,0.0004134567074191927,0.015873510149066097,0.02771539897198019,0.028949235445768325,11,3412,22641
32,20,1e-05,0.0003817060235583096,0.4496805088542332,0.4722360700020722,0.4734941314581726,10,3412,22641
128,20,0.0001,0.0005302247901896203,0.6456237170431349,0.816212636342755,0.8267045679895636,13,3412,22641
128,20,0.0001,0.0013063138502763356,1.0926696106239602,1.3866197130194415,1.4054668913869297,32,3412,22641
128,20,0.0001,0.0013107333593851765,1.0003796506811071,1.2446201103704946,1.2600094495291378,34,3412,22641
128,20,0.0001,0.0,0.9232636094093324,1.1487779219393377,1.1635886337349122,0,3412,22641
128,20,0.001,0.0012700273544353265,0.23305913198877265,0.5077852674794417,0.5444524301405259,28,3412,22641
128,20,0.01,0.002809877370252517,0.02784619425181989,0.06856826630214022,0.07709196127233976,64,3412,22641
128,20,0.01,0.002001572414819777,0.028477717949836338,0.07792396812734229,0.09498183009100153,46,3412,22641
128,20,0.01,0.002368973185209997,0.02783479658817804,0.0759696716873872,0.08961665436406346,59,3412,22641
128,20,0.01,0.00304667001618936,0.028863592694203064,0.08426776755670154,0.10557940880753056,74,3412,22641
128,1,0.001,0.0016135860362120615,1.7227099692379986,1.7225342966892099,2.0853862609455294,40,3412,22641
128,1,0.001,0.001464136846610469,1.2073437770207722,1.2073467042711046,1.3695363424678535,33,3412,22641
128,1,0.001,0.019150430785835244,0.3631997516861669,0.3631856562914672,0.37638177384029736,490,3412,22641
128,1,0.001,0.17493114870019913,1.0736652656837746,1.0736755463812089,1.1887682867560156,4100,3412,22641
128,1,0.001,2.0691443830365284,1.2392378029999909,1.2378117949874312,1.3319337431759757,53000,3412,22641
128,1,0.001,0.0012786337669104374,0.93774151802063,0.938753417244664,0.9383904360194896,30,3412,22641
128,1,0.001,0.002327104151547293,-9.44216721146195,-9.462852707615603,-6.202407223018096,57,3412,22641
128,1,0.001,0.0027377695900556395,-6.10669340910735,-6.103362268871733,-3.581767977558993,63,3412,22641
128,1,0.001,0.0016211457228456055,0.3575382387196576,0.3575057238340378,0.37258788624549294,42,3412,22641
128,1,0.001,0.002611580974711104,1.4383508408511128,1.4382961922221713,1.677860383681435,57,3412,22641
128,1,0.001,0.0015857896499748786,1.2360647475277935,1.2360337420746133,1.416144404819305,36,3412,22641
128,1,0.001,0.0016468486573996536,0.5994559195306566,0.5994232484587917,0.6406585108787618,37,3412,22641
128,1,0.001,0.0014276177450268893,0.6982877828456737,0.6982787163169296,0.7503756989132274,34,3412,22641
128,1,0.001,0.002297098010755689,1.692202258993078,1.6918194978325456,2.0676497635356883,52,3412,22641
128,1,0.001,0.0018402603323470848,0.6000334995764273,0.6000429137989327,0.6375273944222354,46,3412,22641
128,10,0.1,0.0015635758015593887,0.01023031847068557,0.019233832034040933,0.030633218280154282,38,3412,22641
128,50,0.1,0.002405502859781875,0.007066066497591911,0.010019169620721151,0.012290799976451031,59,3412,22641
128,1,0.1,0.0018951552875937398,0.050671492599778704,0.05069195016942642,0.15184031440851525,48,3412,22641
128,1,0.1,0.0015357794153222054,0.04870329548915228,0.04870841714243094,0.11825925956435382,34,3412,22641
128,2,0.1,0.0019326048121476016,0.02893673297431734,0.04018779631911053,0.09047959758875204,46,3412,22641
128,20,0.2,0.002555639293622881,0.006604737188253138,0.009365078319657456,0.013043150625858993,60,3412,22641
128,200,0.2,0.0009236774037477436,0.006241248644612453,0.007101418056069614,0.008168585780146145,23,3412,22641
128,1,0.001,0.0,0.7807793882158067,0.7806980389135855,0.8448343745527421,0,3412,22641
128,1,0.001,0.0,0.6871123887874462,0.8220363546300817,0.9351101779045268,0,3412,22641
128,1,0.001,0.0001570088762351365,4076.0592990451387,1.0000059538417392,1.0000067012195282,4,3412,22641
128,1,0.001,0.0004859133962299262,1.000047039102625,1.0000456394972626,1.0014524689332691,11,3412,22641
128,1,0.2,3.663540445486518e-05,1.0000000044151591,1.0000000110378973,1.0000001753077787,1,3412,22641
128,3,0.2,0.0,0.9999999977924204,1.0,1.0000182249966791,0,3412,22641
128,3,0.2,0.0023257085170918703,0.012708091866914873,0.019077046078710275,0.050560172836490495,52,3412,22641
128,20,0.2,0.0002465620871248069,0.0065697390517150895,0.009304580000160195,0.012658838472169712,6,3412,22641
128,200,0.15,0.0013359710824540835,0.006591593053329874,0.007531343926636961,0.008405937177349599,33,3412,22641
128,250,0.2,0.00018143247920504656,0.0061738839097045094,0.006684318589639795,0.0072027915453576575,4,3412,22641
128,20,0.001,0.0005038240384078602,0.06483026814681513,0.2361879720387084,0.25790561349753705,14,3412,22641
128,250,0.2,0.0033383576173728574 BASELINE_MODEL,0.006146594813024557,0.006626291007311745,0.006981914470127085,81,3412,22641
128,250,0.2,0.0008393578220659112,0.005515472963452339,0.005736470574781027,0.007025526662816279,21,3412,22641
128,250,0.2,0.0,0.005479775386414042,0.005553206949218832,0.00603496616629057,0,3412,22641
128,250,0.1,0.0006846750032564804,0.005519873548850969,0.005722606780379186,0.006758730351871079,16,3412,22641
128,250,0.2,0.0,0.005520276621811921,0.005645306752085286,0.006264966289256099,0,3412,22641 SCHEDULER 0.9 *
128,250,0.2,0.0,0.0054496712292786,0.0055301295576134215,0.005952463742384377,0,3412,22641 NO SCHEDULER
128,250,0.25,7.443383762258322e-05,0.005436260425658138,0.00582254677473543,0.006784811126283182,2,3412,22641 LR 0.25
128,250,0.25,9.525205158264948e-05,0.005437723205735286,0.005501849827072477,0.0058438185466060215,2,3412,22641 LRStep-Scheduler gamma 0.01 step size 60
128,250,0.25,7.327080890973036e-05,0.0054321810603141785,0.005551894431258193,0.006075493332756084,2,3412,22641 NEW BEST
128,500,0.25,4.884720593982024e-05,0.005424788273457024,0.005506418558120892,0.005842273997324958,1,3412,22641
128,50,0.25,0.0,0.9990335504213969,0.9996236591427416,0.9996409990188272,0,3412,22641
128,3,0.25,0.0,0.0062215725063449814,0.008889866035638584,0.025318576428879868,0,3412,22641
128,30,0.25,3.256480395988016e-05,0.005474597474353181,0.00552702780617516,0.0067267045958894,1,3412,22641
128,20,0.25,0.00025470328811477694,0.007207830660735014,0.0229439454450686,0.025228631567648225,6,3412,22641 ResNet18 layers frozen
128,20,0.25,0.00543378644931986,0.006417407740459398,0.008188245495074187,0.008528904760639892,129,3412,22641 ResNet18 train all layers
128,20,0.25,0.006223144609721397,0.0062880770441282674,0.007927855618160081,0.008408313606776057,145,3412,22641 RestNet 18 train all layers avgpool before conv
128,20,0.25,0.019292806646265027,0.005357273992288996,0.005467564854081031,0.0063536870438994026,458,3412,22641
128,20,0.25,0.000894136474441281,0.005519125179422123,0.005776136287453549,0.007469013357101714,19,3412,22641
128,20,0.25,0.00044392805969593776,0.0053776806151425395,0.00569226850617539,0.008568903262961038,12,3412,22641 pretrained
128,20,0.25,0.0013224799493849902,0.005453431409680181,0.01012180675968045,0.007501316908995975,34,3412,22641
128,50,0.25,0.0018417722696737937,0.005277953921230855,0.005473358289304156,0.006729268661754971,45,3412,22641 pretrained scheduler with factor 0.5 after 15 epochs resnet output reduced to 100 channels
128,50,0.01,0.0010824308230521595,0.0058081291995390714,0.015664247287678776,0.024981688856729932,26,3412,22641 lower lr
128,50,0.25,0.00045811700999274276,0.005334795970055793,0.0059189971279421895,0.0070996442851535765,12,3412,22641 sum over resnet feature channels
128,200,0.35,0.01128242524051434,0.004534394738988744,0.0047311231615539216,0.004799840180477237,270,3412,22641 Pretrained_lr_0.35 Parameters not freezed
128,10,0.35,0.0,0.9999150501357184,0.9999151994784674,0.9999146715842469,0,3412,22641 two optimizers and gaussian
128,2,0.35,0.0,0.8674837726133839,0.9337377156372424,6.363745267876948e+20,0,3412,22641
128,20,0.4,0.0082916969054132,0.057600025915437274,0.08517168828251738,13925566.77054764,199,3412,22641
128,50,0.15,0.006534360520292525,0.04600545625995706,0.054605026664557285,1309.884431341044,141,3412,22641
128,800,0.1,0.019681712874854724,0.004938662517815828,0.004972914763251549,0.004970024664279798,462,3412,22641
128,2,0.1,0.00011106924207744841,0.7446031437979804,0.8229906978430571,0.8899170028015891,3,3412,22641
128,2,0.3,0.0,0.21711084688151325,0.4010865409617071,0.6075582747312791,0,3412,22641
128,2,0.3,0.0,0.1692754830475207,0.3632634787095918,0.5913778912017053,0,3412,22641
128,10,0.4,3.663540445486518e-05,0.013377197707692782,0.0834811431562735,0.1368850667662122,1,3412,22641
128,20,0.5,3.663540445486518e-05,0.0055374849967106616,0.026034660962479257,0.04914460656230642,1,3412,22641
128,20,0.5,0.0,0.005455844897638868,0.021861021229307408,0.046968905514549394,0,3412,22641
128,20,0.5,0.0021277716031526113,0.0054294774136333535,0.021846335286412524,0.04700755836594013,52,3412,22641
128,20,0.5,0.0011662851932488511,0.005427709332218879,0.02184489250131365,0.04699367070035202,29,3412,22641
128,20,0.5,0.0009724188798045773,0.005438676707584549,2.3553655583601167,0.052389493855065035,25,3412,22641
128,20,0.5,0.0,0.005432017595955619,0.005458760451249502,0.006107201663289159,0,3412,22641
128,20,0.6,0.0,0.005479710676741821,0.02409789724603157,0.04503591416470885,0,3412,22641
64,300,0.2,0.01262700273544353,0.00493588011401395,inf,0.004966535799358033,288,3412,22641 Center Bias Distance and Smoothing
