batch_size,n_epochs,learning_rate,mean_accuracy_per_image,mean_test_loss,mean_validation_loss,mean_train_loss,number_of_hits,number_of_test_images,number_of_fixations
8,4,1e-06,0.0,67.65109193073782,68.52672204577672,69.00084232725078,0,3412,3412
8,4,1e-06,0.0,67.71220246969398,68.27776895836868,68.68536118796746,0,3412,3412
8,4,1e-06,0.0,67.59612258982602,68.24823980685979,68.72840503518883,0,3412,3412
8,4,1e-06,0.0,67.49069440783606,68.66642633911039,69.18882049463454,0,3412,3412
8,4,1e-06,0.0,67.63781320183283,68.30259574073818,68.79346829808485,0,3412,3412
8,4,1e-05,0.0,64.16942071132972,65.627684042102,66.0300387869884,0,3412,3412
8,4,1e-05,0.0,65.56356855298652,66.68975260386142,67.05832006718916,0,3412,3412
8,4,1e-05,0.0,65.90451809170655,66.83074721784725,67.13988320043403,0,3412,3412
8,4,1e-05,0.00029308323563892143,63.561650059541435,65.0253979538587,65.22482684787614,1,3412,3412
8,4,1e-05,0.0,65.75993706303402,66.75081026121381,67.11663886770975,0,3412,3412
8,4,5e-05,0.0,62.539690299112294,64.38699583328858,64.68233962068602,0,3412,3412
8,4,5e-05,0.00029308323563892143,63.350412824393985,65.48737287186349,65.92812974742013,1,3412,3412
8,4,5e-05,0.0,62.729105196736185,64.74444061224578,65.06592961501053,0,3412,3412
8,4,5e-05,0.0,62.193506875138645,64.19095439360908,64.43037770310265,0,3412,3412
8,4,5e-05,0.00029308323563892143,63.50888790068079,65.45173692884714,65.74814749338925,1,3412,3412
